Dataset,Row Index,fit_time_mean,fit_time_std_dev,f1_macro_mean,f1_macro_std_dev,f1_weighted_mean,f1_weighted_std_dev,vectorizer,ngram_range,preprocessor,max_df,learning_rate,n_estimators,rsm,depth,classifier,colsample_bytree,max_depth
d1,31,17.162883281707764,3.2981488682644935,0.7259579530956044,0.004683101175607489,0.8287977093170028,0.00394549223835903,CountVectorizer,"[1, 1]",,0.9,0.1,1000,1.0,10.0,CatBoost,,
d1,32,604.0624193350474,2.505902509966871,0.6709587749690784,0.005804907060024395,0.7806434275201077,0.00518832029555553,CountVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.001,1000,0.75,6.0,CatBoost,,
d1,33,1327.7370247840881,27.289001043330614,0.7000909562396291,0.005291679328546302,0.8061865872490203,0.004517700530611548,CountVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.001,1000,0.75,10.0,CatBoost,,
d1,34,588.0029063224792,2.8062898891337738,0.6702363459213437,0.005466493733497499,0.780165304730643,0.004837993721067818,CountVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.001,1000,1.0,6.0,CatBoost,,
d1,35,1296.3743807077408,12.42883803718672,0.7002464288552784,0.0056258821231633055,0.806366199232864,0.004763650596760914,CountVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.001,1000,1.0,10.0,CatBoost,,
d1,36,138.79841820398966,18.450228943501727,0.7225554167473075,0.004275971896693246,0.8258109213082431,0.002938369703052145,CountVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.1,1000,0.75,6.0,CatBoost,,
d1,37,268.197389682134,23.622710503978144,0.7258669910523103,0.004681382863333552,0.8292093957467773,0.0039543215929732254,CountVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.1,1000,0.75,10.0,CatBoost,,
d1,38,155.61401438713074,26.303392343318382,0.7236605324754745,0.005319040597464823,0.8268370759971534,0.004097954400105253,CountVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.1,1000,1.0,6.0,CatBoost,,
d1,39,245.50221820672354,36.92028077289464,0.7256661092831019,0.0051695601251360804,0.8288074187324473,0.004184268707477234,CountVectorizer,"[1, 3]",SnowBallStemmer,0.5,0.1,1000,1.0,10.0,CatBoost,,
d1,40,610.8936587174734,4.352185944899208,0.6709587749690784,0.005804907060024395,0.7806434275201077,0.00518832029555553,CountVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.001,1000,0.75,6.0,CatBoost,,
d1,41,1361.5952279170353,24.129229797077,0.7000909562396291,0.005291679328546302,0.8061865872490203,0.004517700530611548,CountVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.001,1000,0.75,10.0,CatBoost,,
d1,42,591.6409598986307,4.855717731593469,0.6702363459213437,0.005466493733497499,0.780165304730643,0.004837993721067818,CountVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.001,1000,1.0,6.0,CatBoost,,
d1,43,1324.5531488259633,12.72098441998039,0.7002464288552784,0.0056258821231633055,0.806366199232864,0.004763650596760914,CountVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.001,1000,1.0,10.0,CatBoost,,
d1,44,139.50393068790436,18.728458459135904,0.7225554167473075,0.004275971896693246,0.8258109213082431,0.002938369703052145,CountVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.1,1000,0.75,6.0,CatBoost,,
d1,45,269.14364953835803,22.441335509014834,0.7258669910523103,0.004681382863333552,0.8292093957467773,0.0039543215929732254,CountVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.1,1000,0.75,10.0,CatBoost,,
d1,46,156.70108250776926,27.568632199561144,0.7236605324754745,0.005319040597464823,0.8268370759971534,0.004097954400105253,CountVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.1,1000,1.0,6.0,CatBoost,,
d1,47,249.28764720757803,37.670496884444894,0.7256661092831019,0.0051695601251360804,0.8288074187324473,0.004184268707477234,CountVectorizer,"[1, 3]",SnowBallStemmer,0.9,0.1,1000,1.0,10.0,CatBoost,,
